DRX011551	SAMD00012590
DRX012097	SAMD00003527
DRX012099	SAMD00003533
DRX012359	SAMD00013693
DRX013352	SAMD00003806
DRX013353	SAMD00003811
DRX013558	SAMD00006038
DRX013559	SAMD00006034
DRX013560	SAMD00006040
DRX013600	SAMD00010524
DRX013601	SAMD00010591
DRX013602	SAMD00010466
DRX013603	SAMD00010470
DRX013604	SAMD00010454
DRX013605	SAMD00010455
DRX013606	SAMD00010436
DRX013607	SAMD00010405
DRX013608	SAMD00010497
DRX013615	SAMD00010608
DRX013616	SAMD00010362
DRX013617	SAMD00010559
DRX013618	SAMD00010486
DRX013619	SAMD00010462
DRX013620	SAMD00010504
DRX013621	SAMD00010288
DRX013622	SAMD00010473
DRX013623	SAMD00010545
DRX013624	SAMD00010332
DRX013625	SAMD00010328
DRX013626	SAMD00010505
DRX013627	SAMD00010413
DRX013628	SAMD00010556
DRX013629	SAMD00010483
DRX013630	SAMD00010561
DRX013631	SAMD00010604
DRX013632	SAMD00010298
DRX013635	SAMD00010310
DRX013636	SAMD00010393
DRX013637	SAMD00010458
DRX013639	SAMD00010557
DRX013640	SAMD00010318
DRX013642	SAMD00010323
DRX013643	SAMD00010366
DRX013644	SAMD00010516
DRX013645	SAMD00010304
DRX013647	SAMD00010399
DRX013648	SAMD00010316
DRX013649	SAMD00010352
DRX013650	SAMD00010373
DRX013651	SAMD00010459
DRX013652	SAMD00010482
DRX013653	SAMD00010428
DRX013655	SAMD00010553
DRX013656	SAMD00010544
DRX013657	SAMD00010594
DRX013658	SAMD00010333
DRX013659	SAMD00010421
DRX013660	SAMD00010420
DRX013661	SAMD00010287
DRX013662	SAMD00010600
DRX013663	SAMD00010494
DRX013664	SAMD00010587
DRX013666	SAMD00010571
DRX013667	SAMD00010572
DRX013668	SAMD00010418
DRX013669	SAMD00010480
DRX013670	SAMD00010446
DRX013671	SAMD00010585
DRX013672	SAMD00010539
DRX013673	SAMD00010387
DRX013674	SAMD00010338
DRX013675	SAMD00010589
DRX013676	SAMD00010431
DRX013677	SAMD00010375
DRX013678	SAMD00010406
DRX013679	SAMD00010558
DRX013680	SAMD00010481
DRX013681	SAMD00010606
DRX013682	SAMD00010426
DRX013683	SAMD00010374
DRX013684	SAMD00010433
DRX013685	SAMD00010603
DRX013686	SAMD00010350
DRX013687	SAMD00010280
DRX013688	SAMD00010365
DRX013689	SAMD00010358
DRX013690	SAMD00010551
DRX013691	SAMD00010440
DRX013692	SAMD00010525
DRX013693	SAMD00010478
DRX013694	SAMD00010541
